,SERIALNO,RELATE,OC,RC,SEX,SSPA,AGE,QTRBIR,HISPAN,RACEDET,GQTYP
43988,0019633,01,0,0,1,0,45,2,01,01,0
43989,0019633,02,0,0,2,0,39,3,01,01,0
43990,0019633,03,1,1,2,0,8,2,01,01,0
43991,0019635,01,0,0,1,0,93,3,01,01,0
43992,0019635,02,0,0,2,0,80,1,01,01,0
43993,0019636,16,0,0,1,0,30,0,01,01,1
43994,0019637,01,0,0,1,0,32,1,01,45,0
43995,0019637,02,0,0,2,0,30,3,01,45,0
43996,0019637,03,1,1,1,0,7,3,01,45,0
43997,0019637,03,1,1,2,0,2,1,01,45,0
43998,0019637,07,0,0,2,0,57,1,01,45,0
43999,0019638,01,0,0,1,0,43,0,01,01,0
44000,0019638,02,0,0,2,0,45,1,02,73,0
44001,0019639,01,0,0,1,0,55,2,01,01,0
44002,0019639,02,0,0,2,0,48,3,01,01,0
44003,0019639,03,0,0,1,0,18,1,01,01,0
44004,0019640,01,0,0,1,0,63,0,01,01,0
44005,0019640,02,0,0,2,0,51,0,01,01,0
44006,0019641,01,0,0,1,0,69,3,01,01,0
44007,0019641,02,0,0,2,0,67,0,01,01,0
44008,0019642,01,0,0,2,0,42,1,01,01,0
44009,0019642,03,0,0,1,0,23,1,01,01,0
44010,0019643,01,0,0,2,0,60,3,01,02,0
44011,0019644,01,0,0,1,0,43,0,01,01,0
44012,0019644,02,0,0,2,0,43,1,01,01,0
44013,0019644,03,1,1,2,0,16,0,01,01,0
44014,0019644,03,1,1,1,0,11,0,01,01,0
44015,0019645,01,0,0,2,0,64,0,01,02,0
44016,0019645,02,0,0,1,0,78,1,01,02,0
44017,0019645,03,0,0,2,0,24,1,01,02,0
44018,0019646,17,0,0,2,0,16,3,01,02,2
44019,0019647,01,0,0,1,0,25,3,03,73,0
44020,0019647,14,0,0,2,0,19,2,01,01,0
44021,0019648,01,0,0,1,0,56,1,01,01,0
44022,0019648,02,0,0,2,0,55,2,01,01,0
44023,0019648,03,0,0,2,0,23,3,01,01,0
44024,0019649,16,0,0,1,0,48,2,01,01,1
44025,0019650,01,0,0,2,0,58,0,01,01,0
44026,0019650,02,0,0,1,0,60,2,01,01,0
44027,0019651,01,0,0,1,0,53,2,01,01,0
44028,0019652,01,0,0,1,0,33,1,01,02,0
44029,0019652,14,0,0,2,0,25,2,01,02,0
44030,0019652,15,0,0,1,0,5,2,01,02,0
44031,0019653,01,0,0,2,0,31,2,01,02,0
44032,0019653,02,0,0,1,0,31,0,01,02,0
44033,0019653,03,1,1,2,0,5,2,01,02,0
44034,0019654,01,0,0,1,0,58,3,01,01,0
44035,0019654,02,0,0,2,0,57,3,01,01,0
44036,0019654,03,0,0,1,0,33,1,01,01,0
44037,0019654,07,0,0,2,0,79,1,01,01,0
44038,0019655,01,0,0,1,0,59,2,01,01,0
44039,0019655,02,0,0,2,0,49,2,01,01,0
44040,0019655,08,0,1,1,0,4,2,01,01,0
44041,0019655,15,0,0,1,0,15,1,01,01,0
44042,0019656,01,0,0,1,0,66,3,01,01,0
44043,0019656,02,0,0,2,0,64,1,01,01,0
44044,0019656,08,0,0,2,0,30,3,01,01,0
